[120:312:1112/024612.914:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.124 (not a warning)
[120:312:1112/024613.007:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[120:312:1112/024613.007:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[120:312:1112/024616.718:INFO:CONSOLE(197)] "initResin", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (197)
[120:312:1112/024624.364:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024624.386:INFO:CONSOLE(204)] "Service worker state: installed", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[120:312:1112/024624.387:INFO:CONSOLE(204)] "Service worker state: activating", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[120:312:1112/024624.388:INFO:CONSOLE(204)] "Service worker state: activated", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[120:312:1112/024624.459:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024624.502:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024624.759:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024624.855:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024625.790:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024626.691:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024627.272:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024627.586:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024628.594:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024629.284:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.135:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.348:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.366:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.380:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.503:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.567:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.698:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.782:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.809:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.866:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.904:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024630.924:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024631.356:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024631.422:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[120:312:1112/024632.005:INFO:CONSOLE(7340)] "Connected to https://colab.research.google.com/tun/m/m-s-1kfkxrx2ln1ye", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7340)
[120:312:1112/024645.637:INFO:CONSOLE(7053)] "LSP: Starting service instance "<default>"", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[120:312:1112/024645.637:INFO:CONSOLE(7053)] "LSP: Background analysis(1) root directory: /datalab/web/pyright", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[120:312:1112/024645.638:INFO:CONSOLE(7053)] "LSP: Background analysis(1) started", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[120:312:1112/024647.377:WARNING:pref_notifier_impl.cc(41)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
