[12656:10904:1112/124611.438:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.124 (not a warning)
[12656:10904:1112/124611.582:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[12656:10904:1112/124611.582:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[12656:10904:1112/124616.850:INFO:CONSOLE(197)] "initResin", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (197)
[12656:10904:1112/124630.717:INFO:CONSOLE(7340)] "Connected to https://colab.research.google.com/tun/m/m-s-3lfdigeuea0pp", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7340)
[12656:10904:1112/124646.425:INFO:CONSOLE(7053)] "LSP: Starting service instance "<default>"", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[12656:10904:1112/124646.431:INFO:CONSOLE(7053)] "LSP: Background analysis(1) root directory: /datalab/web/pyright", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[12656:10904:1112/124646.431:INFO:CONSOLE(7053)] "LSP: Background analysis(1) started", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[12656:10904:1112/124651.271:INFO:CONSOLE(7053)] "LSP: Un-registering request handler for 1bf7ac86-86cb-40ee-b162-923ae459609c failed.", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[12656:10904:1112/124652.764:INFO:CONSOLE(7053)] "LSP: stubPath typings is not a valid directory.", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (7053)
[12656:10904:1112/124800.797:WARNING:CONSOLE(1)] "Fallback triggered https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/min-maps/vs/base/worker/workerMain.js.map [object Object]", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
[12656:10904:1112/124800.798:WARNING:CONSOLE(1)] "Fallback triggered https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/min-maps/vs/base/common/worker/simpleWorker.nls.js.map [object Object]", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
[12656:10904:1112/125657.304:ERROR:device_event_log_impl.cc(192)] [12:56:57.304] USB: usb_service_win.cc:104 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[12656:10904:1112/125718.749:WARNING:pref_notifier_impl.cc(41)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
