SALES DETAILS - BRIEF-,,,,,,,,,,,
Code,Date,Customer Name,Nett Amt,Cash Amt,Card  Amt,Sodexho,Cheque,Others,Credit,,
SI18546,31/07/23,CASH,890,890,,,,,,,
SI18547,31/07/23,AV STORE(2),8018,8018,,,,,,,
SI18548,31/07/23,CASH,724,724,,,,,,,
SI18549,31/07/23,QUALITY HOME,3310,3310,,,,,,,
SI18550,31/07/23,CASH,632,632,,,,,,,
SI18551,31/07/23,CASH,1292,1292,,,,,,,
SI18552,31/07/23,TAYLORS  ROAD (VEG & FRUITS),3625,3625,,,,,,,
SI18553,31/07/23,CASH,895,895,,,,,,,
SI18554,31/07/23,CASH,558,558,,,,,,,
SI18555,31/07/23,CASH,684,684,,,,,,,
SI18556,31/07/23,CASH,143,143,,,,,,,
SI18557,31/07/23,CASH,502,502,,,,,,,
SI18558,31/07/23,CASH,1356,1356,,,,,,,
SI18559,31/07/23,CASH,6012,6012,,,,,,,
SI18560,31/07/23,NEW SELVAKUMAR STORE(NEW),14916,14916,,,,,,,
SI18561,31/07/23,CASH,1607,1607,,,,,,,
SI18562,31/07/23,CASH,2012,2012,,,,,,,
SI18563,31/07/23,CASH,1155,1155,,,,,,,
SI18564,31/07/23,CASH,630,630,,,,,,,
SI18565,31/07/23,CASH,6215,6215,,,,,,,
SI18566,31/07/23,CASH,1476,1476,,,,,,,
SI18567,31/07/23,CASH,543,543,,,,,,,
SI18568,31/07/23,JAYARAM STORE,10445,10445,,,,,,,
SI18569,31/07/23,CASH,290,290,,,,,,,
SI18570,31/07/23,CASH,290,290,,,,,,,
SI18571,31/07/23,GANESH STORE(LOTUS),4610,4610,,,,,,,
SI18572,31/07/23,CASH,663,663,,,,,,,
SI18573,31/07/23,SARANYA STORE(CHOO),3550,3550,,,,,,,
SI18574,31/07/23,CASH,1104,1104,,,,,,,
SI18575,31/07/23,CASH,4279,4279,,,,,,,
SI18576,31/07/23,CASH,870,870,,,,,,,
SI18577,31/07/23,CASH,1930,1930,,,,,,,
SI18578,31/07/23,CASH,266,266,,,,,,,
SI18579,31/07/23,CHANDRA SUPER MARKET,2200,2200,,,,,,,
SI18580,31/07/23,NATARAJA STORE,7156,7156,,,,,,,
SI18581,31/07/23,CASH,468,468,,,,,,,
SI18582,31/07/23,PIECE OF CAKE,3120,3120,,,,,,,
SI18583,31/07/23,CASH,6305,6305,,,,,,,
SI18584,31/07/23,CASH,1699,1699,,,,,,,
SI18585,31/07/23,SELVAM STORE,448925,448925,,,,,,,
SI18586,31/07/23,CASH,1722,1722,,,,,,,
SI18587,31/07/23,CASH,117,117,,,,,,,
SI18588,31/07/23,CASH,150,150,,,,,,,
SI18589,31/07/23,CASH,711,711,,,,,,,
SI18590,31/07/23,CASH,372,372,,,,,,,
SI18591,31/07/23,CASH,216,216,,,,,,,
SI18592,31/07/23,CASH,32,32,,,,,,,
SI18593,31/07/23,SENTHIL VEL STORE,13767,13767,,,,,,,
SI18594,31/07/23,SARAVANA AGENCIES,6550,6550,,,,,,,
SI18595,31/07/23,AP SELVAM STORE,7204,7204,,,,,,,
SI18596,31/07/23,CASH,2713,2713,,,,,,,
SI18597,31/07/23,CASH,268,268,,,,,,,
SI18598,31/07/23,CASH,1494,1494,,,,,,,
SI18599,31/07/23,CASH,574,574,,,,,,,
SI18600,31/07/23,CASH,4219,4219,,,,,,,
SI18601,31/07/23,CHANDRA STORE,3370,3370,,,,,,,
SI18602,31/07/23,CASH,345,345,,,,,,,
SI18603,31/07/23,MURUGAN STORE (AMINJI) RAMAN,250,250,,,,,,,
SI18604,31/07/23,CASH,68,68,,,,,,,
SI18605,31/07/23,CASH,956,956,,,,,,,
SI18606,31/07/23,SOWTHA STORE,5140,5140,,,,,,,
SI18607,31/07/23,CASH,561,561,,,,,,,
SI18608,31/07/23,CASH,1545,1545,,,,,,,
SI18609,31/07/23,CASH,1575,1575,,,,,,,
SI18610,31/07/23,CASH,910,910,,,,,,,
SI18611,31/07/23,SARAN SWEETS,1575,1575,,,,,,,
SI18612,31/07/23,VINAYAGA HOTEL BHAVAN,1575,1575,,,,,,,
SI18613,31/07/23,CASH,1110,1110,,,,,,,
SI18614,31/07/23,CASH,1770,1770,,,,,,,
SI18615,31/07/23,CASH,110,110,,,,,,,
SI18616,31/07/23,CASH,840,840,,,,,,,
SI18617,31/07/23,CASH,174,174,,,,,,,
SI18618,31/07/23,CASH,330,330,,,,,,,
SI18619,31/07/23,CASH,105,105,,,,,,,
SI18620,31/07/23,CASH,601,601,,,,,,,
SI18621,31/07/23,CASH,1655,1655,,,,,,,
SI18622,31/07/23,CASH,720,720,,,,,,,
SI18623,31/07/23,CASH,199,199,,,,,,,
SI18624,31/07/23,CASH,528,528,,,,,,,
SI18625,31/07/23,CASH,1155,1155,,,,,,,
SI18626,31/07/23,CASH,216,216,,,,,,,
SI18627,31/07/23,THIRUPATHI STORE,40004,40004,,,,,,,
SI18628,31/07/23,CASH,234,234,,,,,,,
SI18629,31/07/23,CASH,225,225,,,,,,,
SI18630,31/07/23,MURUGAN STORE (18TH),3895,3895,,,,,,,
SI18631,31/07/23,CASH,1752,1752,,,,,,,
SI18632,31/07/23,CASH,425,425,,,,,,,
SI18633,31/07/23,CASH,3895,3895,,,,,,,
SI18634,31/07/23,CASH,3895,3895,,,,,,,
SI18635,31/07/23,CASH,3895,3895,,,,,,,
SI18636,31/07/23,CASH,4085,4085,,,,,,,
SI18637,31/07/23,CASH,750,750,,,,,,,
SI18638,31/07/23,CASH,105,105,,,,,,,
SI18639,31/07/23,CASH,540,540,,,,,,,
SI18640,31/07/23,LAKSHMAN & LAKSHMI SWEETS,2310,2310,,,,,,,
SI18641,31/07/23,CASH,525,525,,,,,,,
SI18642,31/07/23,SIVA STORE (THANGA COLONY),3122,3122,,,,,,,
SI18643,31/07/23,DHANALAKSHMI STORE,6100,6100,,,,,,,
SI18644,31/07/23,INDIRA STORE (11 TH),7725,7725,,,,,,,
SI18645,31/07/23,RENGA STORE,23474,23474,,,,,,,
SI18646,31/07/23,CASH,2580,2580,,,,,,,
SI18647,31/07/23,CASH,182,182,,,,,,,
SI18648,31/07/23,SRI GANESH STORE (JAI),4805,4805,,,,,,,
SI18649,31/07/23,CASH,220,220,,,,,,,
SI18650,31/07/23,SELVA GANESH STORE,2685,2685,,,,,,,
SI18651,31/07/23,ISHWARYA SWEETS,4905,4905,,,,,,,
SI18652,31/07/23,CASH,1770,1770,,,,,,,
SI18653,31/07/23,PADMA STORE,10399,10399,,,,,,,
SI18654,31/07/23,CASH,808,808,,,,,,,
SI18655,31/07/23,SRI BALAMURUGAN STORE,6998,6998,,,,,,,
SI18656,31/07/23,AVS STORE,4619,4619,,,,,,,
SI18657,31/07/23,CASH,585,585,,,,,,,
SI18658,31/07/23,CASH,496,496,,,,,,,
SI18659,31/07/23,ARTHI STORE(ARUM),3400,3400,,,,,,,
SI18660,31/07/23,CASH,3400,3400,,,,,,,
SI18661,31/07/23,CASH,3400,3400,,,,,,,
SI18662,31/07/23,CASH,3400,3400,,,,,,,
SI18663,31/07/23,ARTHI STORE(ARUM),3400,3400,,,,,,,
SI18664,31/07/23,CASH,266,266,,,,,,,
SI18665,31/07/23,CASH,211,211,,,,,,,
SI18666,31/07/23,CASH,485,485,,,,,,,
SI18667,31/07/23,CASH,1794,1794,,,,,,,
SI18668,31/07/23,CASH,1003,1003,,,,,,,
SI18669,31/07/23,CASH,1130,1130,,,,,,,
SI18670,31/07/23,CASH,6180,6180,,,,,,,
SI18671,31/07/23,CASH,1299,1299,,,,,,,
SI18672,31/07/23,CASH,180,180,,,,,,,
SI18673,31/07/23,CASH,1795,1795,,,,,,,
SI18674,31/07/23,THIRUVENI HOTEL,849,849,,,,,,,
SI18675,31/07/23,CASH,1600,1600,,,,,,,
SI18676,31/07/23,CASH,675,675,,,,,,,
SI18677,31/07/23,SANTHOSH STORE(ARUM),5570,5570,,,,,,,
SI18678,31/07/23,CASH,70,70,,,,,,,
SI18679,31/07/23,CHANDRA SUPER MARKET,363,363,,,,,,,
SI18680,31/07/23,CASH,2781,2781,,,,,,,
SI18681,31/07/23,CASH,186,186,,,,,,,
SI18682,31/07/23,CASH,7200,7200,,,,,,,
SI18683,31/07/23,JAYALAKSHMI SUPER  MARKET,23310,23310,,,,,,,
SI18684,31/07/23,CASH,735,735,,,,,,,
SI18685,31/07/23,CASH,3016,3016,,,,,,,
SI18686,31/07/23,CASH,1130,1130,,,,,,,
SI18687,31/07/23,AST PAZHAMUDHIR NILAYAM,68363,68363,,,,,,,
SI18688,31/07/23,CASH,1211,1211,,,,,,,
SI18689,31/07/23,CASH,351,351,,,,,,,
SI18690,31/07/23,IBRAHIM STORE,5752,5752,,,,,,,
SI18691,31/07/23,CASH,1770,1770,,,,,,,
SI18692,31/07/23,CASH,1022,1022,,,,,,,
SI18693,31/07/23,SELVAM STORE (NSK),4590,4590,,,,,,,
SI18694,31/07/23,CASH,2595,2595,,,,,,,
SI18695,31/07/23,CASH,2346,2346,,,,,,,
SI18696,31/07/23,CASH,360,360,,,,,,,
SI18697,31/07/23,CASH,550,550,,,,,,,
SI18698,31/07/23,CASH,700,700,,,,,,,
SI18699,31/07/23,CASH,1161,1161,,,,,,,
SI18700,31/07/23,CASH,250,250,,,,,,,
SI18701,31/07/23,CASH,215,215,,,,,,,
SI18702,31/07/23,CASH,820,820,,,,,,,
SI18703,31/07/23,CASH,230,230,,,,,,,
SI18704,31/07/23,CASH,92,92,,,,,,,
SI18705,31/07/23,LAKSHMI SWEETS,1575,1575,,,,,,,
SI18706,31/07/23,JASMINE SUPER MARKET,2870,2870,,,,,,,
SI18707,31/07/23,CASH,174,174,,,,,,,
SI18708,31/07/23,CASH,890,890,,,,,,,
SI18709,31/07/23,CASH,2330,2330,,,,,,,
SI18710,31/07/23,CASH,245,245,,,,,,,
SI18711,31/07/23,CASH,331,331,,,,,,,
,,,,,,,,,,,
,,Total,1092253,1092253,0,0,0,0,0,0,
